panel,level,excess,ci_lo,ci_hi,n_paired
(a) Binary instrument: paired excess over the null by reference level,L0,0.1,0.021499656829100895,0.17894736842105263,100
(a) Binary instrument: paired excess over the null by reference level,L1,0.10869565217391304,0.023255813953488372,0.19318181818181818,92
(a) Binary instrument: paired excess over the null by reference level,L2,0.046511627906976744,-0.023809523809523808,0.1905753968253963,43
(b) Continuous instrument: paired excess over the null by reference level,L0,0.05442375703112855,0.02134005153429715,0.08606144321800566,136
(b) Continuous instrument: paired excess over the null by reference level,L1,0.06300310346090827,0.03037130382216761,0.09625346424936845,127
(b) Continuous instrument: paired excess over the null by reference level,L2,0.07902349047809074,0.02947534261968962,0.12780228120904716,67
