run,model,scenario_id,above_floor,above_floor_null,pD,pJ,g,pD_null,pJ_null,g_null,ind,ind_null
three_cell_union,base,F1-A-00,True,True,0.48655069326611067,0.42954260480651485,0.05700808845959582,0.34110631054351903,0.2886486156784619,0.052457694865057136,0,0
three_cell_union,base,F1-A-00T,True,True,0.4538385888066413,0.4540402832125983,-0.00020169440595702026,0.4406830526440797,0.4437465204339548,-0.003063467789875096,0,
three_cell_union,base,F1-A-02,True,True,0.38474876427685123,0.2790748787924613,0.10567388548438994,0.3330015462705329,0.2459469430646058,0.08705460320592712,0,0
three_cell_union,base,F1-A-02T,True,True,0.31006479255395125,0.2432044043328788,0.06686038822107246,0.29569003722032894,0.2306292099818099,0.06506082723851903,0,0
three_cell_union,base,F1-A-04,True,True,0.35194354079306645,0.3391248514215391,0.012818689371527359,0.4105498123825469,0.3973292491431887,0.013220563239358218,0,0
three_cell_union,base,F1-A-04T,False,False,0.28108763506266077,0.3353768928436248,-0.05428925778096405,0.23052818600517191,0.2845906805009929,-0.054062494495820984,0,0
three_cell_union,base,F1-A-06,True,True,0.513130609177521,0.4320965154870114,0.08103409369050957,0.4775053116503482,0.3608509675916707,0.11665434405867753,0,0
three_cell_union,base,F1-A-06T,True,True,0.2864740372229788,0.3106719095470073,-0.02419787232402848,0.24483961047734842,0.2598685664711291,-0.01502895599378068,0,0
three_cell_union,base,F1-A-08,True,True,0.33724137412957395,0.29351971318996617,0.043721660939607776,0.2525104171453919,0.2484018133009282,0.00410860384446371,0,0
three_cell_union,base,F1-A-08T,True,True,0.2581869868776905,0.23860408298323424,0.019582903894456244,0.30794256427659944,0.2734517467556067,0.034490817520992756,0,0
three_cell_union,base,F1-A-10,False,True,0.4538273565523433,0.4355960728303788,0.018231283721964475,0.3967656225624429,0.41223786179360206,-0.015472239231159146,0,
three_cell_union,base,F1-A-10T,True,True,0.32520877269547865,0.3587172023050702,-0.03350842960959155,0.2991800145653525,0.3154431097043622,-0.016263095139009698,0,0
three_cell_union,base,F1-A-12,True,True,0.45017932648266257,0.383192966039992,0.06698636044267059,0.4029440124157235,0.34876061590085344,0.05418339651487003,1,0
three_cell_union,base,F1-A-12T,True,True,0.3990248258879609,0.33307409084126816,0.06595073504669274,0.41262275144004856,0.3306415347238303,0.08198121671621827,1,1
three_cell_union,base,F1-A-14,True,True,0.5963215645253541,0.5710187272324476,0.0253028372929065,0.42359295411282416,0.40697361649293395,0.016619337619890207,0,0
three_cell_union,base,F1-A-14T,True,True,0.4390162943713801,0.45545004014015433,-0.01643374576877421,0.49124733169937906,0.43777437256978313,0.05347295912959593,0,1
three_cell_union,base,F1-A-16,True,True,0.25926193757343796,0.31412149095673964,-0.054859553383301674,0.26097998111203147,0.26440960075154607,-0.003429619639514603,0,0
three_cell_union,base,F1-A-16T,True,True,0.4522297071078981,0.31320209356855266,0.13902761353934545,0.36773927705399073,0.2504332926185608,0.11730598443542994,1,0
three_cell_union,base,F1-A-18,True,True,0.19957511400514744,0.18885740716636892,0.010717706838778512,0.2032616105032925,0.1654225560010938,0.03783905450219871,0,0
three_cell_union,base,F1-A-18T,True,True,0.33967616469176687,0.3372778160491228,0.0023983486426440437,0.2459201661257,0.2821378460455898,-0.03621767991988978,0,0
